id	difficulty	title	tags
1	Easy	Two Sum	Array,Hash Table
2	Medium	Add Two Numbers	Recursion,Linked List,Math
3	Medium	Longest Substring Without Repeating Characters	Hash Table,String,Sliding Window
4	Hard	Median of Two Sorted Arrays	Array,Binary Search,Divide and Conquer
5	Medium	Longest Palindromic Substring	Two Pointers,String,Dynamic Programming
6	Medium	Zigzag Conversion	String
7	Medium	Reverse Integer	Math
8	Medium	String to Integer (atoi)	String
9	Easy	Palindrome Number	Math
10	Hard	Regular Expression Matching	Recursion,String,Dynamic Programming
11	Medium	Container With Most Water	Greedy,Array,Two Pointers
12	Medium	Integer to Roman	Hash Table,Math,String
13	Easy	Roman to Integer	Hash Table,Math,String
14	Easy	Longest Common Prefix	Trie,Array,String
15	Medium	3Sum	Array,Two Pointers,Sorting
16	Medium	3Sum Closest	Array,Two Pointers,Sorting
17	Medium	Letter Combinations of a Phone Number	Hash Table,String,Backtracking
18	Medium	4Sum	Array,Two Pointers,Sorting
19	Medium	Remove Nth Node From End of List	Linked List,Two Pointers
20	Easy	Valid Parentheses	Stack,String
21	Easy	Merge Two Sorted Lists	Recursion,Linked List
22	Medium	Generate Parentheses	String,Dynamic Programming,Backtracking
23	Hard	Merge k Sorted Lists	Linked List,Divide and Conquer,Heap (Priority Queue),Merge Sort
24	Medium	Swap Nodes in Pairs	Recursion,Linked List
25	Hard	Reverse Nodes in k-Group	Recursion,Linked List
26	Easy	Remove Duplicates from Sorted Array	Array,Two Pointers
27	Easy	Remove Element	Array,Two Pointers
28	Easy	Find the Index of the First Occurrence in a String	Two Pointers,String,String Matching
29	Medium	Divide Two Integers	Bit Manipulation,Math
30	Hard	Substring with Concatenation of All Words	Hash Table,String,Sliding Window
31	Medium	Next Permutation	Array,Two Pointers
32	Hard	Longest Valid Parentheses	Stack,String,Dynamic Programming
33	Medium	Search in Rotated Sorted Array	Array,Binary Search
34	Medium	Find First and Last Position of Element in Sorted Array	Array,Binary Search
35	Easy	Search Insert Position	Array,Binary Search
36	Medium	Valid Sudoku	Array,Hash Table,Matrix
37	Hard	Sudoku Solver	Array,Hash Table,Backtracking,Matrix
38	Medium	Count and Say	String
39	Medium	Combination Sum	Array,Backtracking
40	Medium	Combination Sum II	Array,Backtracking
41	Hard	First Missing Positive	Array,Hash Table
42	Hard	Trapping Rain Water	Stack,Array,Two Pointers,Dynamic Programming,Monotonic Stack
43	Medium	Multiply Strings	Math,String,Simulation
44	Hard	Wildcard Matching	Greedy,Recursion,String,Dynamic Programming
45	Medium	Jump Game II	Greedy,Array,Dynamic Programming
46	Medium	Permutations	Array,Backtracking
47	Medium	Permutations II	Array,Backtracking,Sorting
48	Medium	Rotate Image	Array,Math,Matrix
49	Medium	Group Anagrams	Array,Hash Table,String,Sorting
